Batter,Total Matches Batted,Total Innings Dismissed,Total Runs,Batting Average,Total Balls Faced,Strike Rate,Sixes,Fours,Boundary %
Devon Conway,15,14,655,46.785714285714285,442,148.19004524886878,18,75,21.040723981900452
Ruturaj Gaikwad,15,13,586,45.07692307692308,378,155.026455026455,30,46,20.105820105820104
Moeen Ali,10,7,112,16.0,74,151.35135135135135,6,10,21.62162162162162
Ben S,2,2,15,7.5,12,125.0,0,2,16.666666666666664
Ambati Rayudu,12,10,158,15.8,103,153.39805825242718,9,10,18.446601941747574
Shivam Dube,14,11,418,38.0,250,167.2,35,12,18.8
Ravindra Jadeja,12,8,189,23.625,119,158.8235294117647,9,11,16.80672268907563
MS Dhoni,12,4,102,25.5,50,204.0,10,3,26.0
Mitchell Santner,2,0,2,0,3,66.66666666666666,0,0,0.0
Wriddhiman Saha,17,16,366,22.875,260,140.76923076923077,8,46,20.76923076923077
Shubman Gill,17,16,878,54.875,538,163.19702602230484,32,84,21.561338289962826
Sai Sudharsan,8,6,355,59.166666666666664,244,145.4918032786885,11,33,18.0327868852459
Hardik Pandya,15,10,317,31.7,227,139.647577092511,13,24,16.299559471365637
Vijay Shankar,10,8,295,36.875,169,174.55621301775147,15,26,24.2603550295858
Rahul Tewatia,9,4,85,21.25,50,170.0,7,3,20.0
Rashid Khan,9,4,129,32.25,54,238.88888888888889,13,8,38.88888888888889
Prabhsimran Singh,14,15,357,23.8,217,164.51612903225808,19,38,26.26728110599078
Shikhar Dhawan,10,8,366,45.75,240,152.5,12,48,25.0
Bhanuka Rajapaksa,4,3,71,23.666666666666668,56,126.78571428571428,2,6,14.285714285714285
Jitesh Sharma,14,13,302,23.23076923076923,178,169.6629213483146,20,22,23.595505617977526
Sikandar Raza,7,5,139,27.8,92,151.08695652173913,6,10,17.391304347826086
Sam Curran,13,10,266,26.6,186,143.01075268817206,13,18,16.666666666666664
Shahrukh Khan,12,7,155,22.142857142857142,85,182.35294117647058,9,13,25.882352941176475
Mandeep Singh,3,3,14,4.666666666666667,13,107.6923076923077,1,0,7.6923076923076925
Rahmanullah Gurbaz,11,11,221,20.09090909090909,153,144.44444444444443,14,17,20.26143790849673
Anukul Roy,4,2,23,11.5,17,135.29411764705884,0,3,17.647058823529413
Venkatesh Iyer,14,14,397,28.357142857142858,257,154.47470817120623,20,32,20.233463035019454
Nitish Rana,14,13,379,29.153846153846153,259,146.33204633204633,18,36,20.84942084942085
Rinku Singh,14,8,459,57.375,300,153.0,27,31,19.333333333333332
Andre Russell,14,12,225,18.75,143,157.34265734265733,18,13,21.678321678321677
Shardul Thakur,9,8,113,14.125,61,185.24590163934425,4,13,27.86885245901639
Sunil Narine,10,7,20,2.857142857142857,17,117.64705882352942,1,2,17.647058823529413
KL Rahul,9,8,265,33.125,225,117.77777777777779,4,27,13.777777777777779
Kyle Mayers,13,13,353,27.153846153846153,233,151.5021459227468,20,35,23.605150214592275
Deepak Hooda,12,11,82,7.454545454545454,77,106.49350649350649,2,3,6.493506493506493
Krunal Pandya,14,11,188,17.09090909090909,148,127.02702702702702,6,15,14.18918918918919
Marcus S,15,13,406,31.23076923076923,253,160.47430830039525,27,28,21.73913043478261
Nicholas Pooran,15,11,346,31.454545454545453,191,181.15183246073298,26,23,25.654450261780106
Ayush Badoni,12,8,231,28.875,157,147.13375796178343,11,13,15.286624203821656
Krishnappa Gowtham,7,4,60,15.0,32,187.5,5,2,21.875
Prithvi Shaw,8,8,105,13.125,76,138.1578947368421,1,16,22.36842105263158
David Warner,14,12,504,42.0,371,135.8490566037736,9,68,20.754716981132077
Mitchell Marsh,9,8,127,15.875,83,153.0120481927711,7,11,21.686746987951807
