Bowler,Total Matches Bowled,Balls Bowled,Runs Conceded,Bowling Economy,Bowling Strike Rate,Bowling Average,Dot Ball %,Wickets Taken
Mohammed Shami,17,403,503,7.488833746898262,14.392857142857142,17.964285714285715,68.98263027295285,28
Hardik Pandya,11,156,222,8.538461538461538,39.0,55.5,64.74358974358975,4
Josh Little,10,211,286,8.132701421800949,23.444444444444443,31.77777777777778,66.35071090047393,9
Rashid Khan,17,407,547,8.063882063882064,14.535714285714286,19.535714285714285,66.58476658476658,28
Alzarri Joseph,7,150,219,8.76,21.428571428571427,31.285714285714285,64.0,7
Yash Dayal,5,88,161,10.977272727272727,44.0,80.5,54.54545454545454,2
Deepak Chahar,10,215,286,7.981395348837209,16.53846153846154,22.0,66.97674418604652,13
Tushar Deshpande,16,368,534,8.706521739130434,15.333333333333334,22.25,63.858695652173914,24
Rajvardhan Hangargekar,2,43,53,7.395348837209302,14.333333333333334,17.666666666666668,69.76744186046511,3
Mitchell Santner,3,72,81,6.75,24.0,27.0,72.22222222222221,3
Ravindra Jadeja,16,348,420,7.241379310344827,17.4,21.0,69.82758620689656,20
Umesh Yadav,8,116,187,9.672413793103448,116.0,187.0,60.3448275862069,1
Tim Southee,2,36,79,13.166666666666668,18.0,39.5,47.22222222222222,2
Sunil Narine,14,296,374,7.581081081081082,26.90909090909091,34.0,68.58108108108108,11
Varun Chakravarthy,14,323,417,7.746130030959753,16.15,20.85,67.80185758513932,20
Shardul Thakur,9,132,210,9.545454545454545,18.857142857142858,30.0,60.60606060606061,7
Sam Curran,14,299,476,9.551839464882944,27.181818181818183,43.27272727272727,60.200668896321076,11
Arshdeep Singh,14,324,474,8.777777777777779,18.0,26.333333333333332,63.580246913580254,18
Nathan Ellis,10,233,326,8.394849785407725,17.923076923076923,25.076923076923077,65.23605150214593,13
Sikandar Raza,6,76,111,8.763157894736842,25.333333333333332,37.0,64.47368421052632,3
Rishi Dhawan,4,42,60,8.571428571428571,42.0,60.0,64.28571428571429,1
Rahul Chahar,14,301,382,7.614617940199336,37.625,47.75,68.43853820598007,8
Harpreet Brar,11,166,215,7.7710843373493965,18.444444444444443,23.88888888888889,68.07228915662651,9
Khaleel Ahmed,9,212,281,7.952830188679245,21.2,28.1,66.98113207547169,10
Mukesh Kumar,10,197,311,9.472081218274111,21.88888888888889,34.55555555555556,60.913705583756354,9
Chetan Sakariya,2,55,80,8.727272727272727,18.333333333333332,26.666666666666668,63.63636363636363,3
Axar Patel,13,288,328,6.833333333333333,26.181818181818183,29.818181818181817,71.52777777777779,11
Kuldeep Yadav,14,300,355,7.1,30.0,35.5,70.66666666666667,10
Kyle Mayers,6,46,53,6.913043478260869,0,0,71.73913043478261,0
Jaydev Unadkat,3,52,83,9.576923076923077,52.0,83.0,61.53846153846154,1
Krishnappa Gowtham,6,100,114,6.84,33.333333333333336,38.0,72.0,3
Avesh Khan,9,176,277,9.443181818181818,22.0,34.625,60.79545454545454,8
Mark Wood,4,102,124,7.2941176470588225,9.272727272727273,11.272727272727273,69.6078431372549,11
Ravi Bishnoi,14,312,377,7.25,18.352941176470587,22.176470588235293,69.87179487179486,17
Bhuvneshwar Kumar,14,319,407,7.655172413793104,16.789473684210527,21.42105263157895,68.3385579937304,19
Fazalhaq Farooqi,4,86,111,7.744186046511628,21.5,27.75,68.6046511627907,4
Washing,7,106,146,8.264150943396226,35.333333333333336,48.666666666666664,66.0377358490566,3
T Natarajan,12,276,402,8.73913043478261,21.23076923076923,30.923076923076923,63.76811594202898,13
Adil Rashid,2,42,56,8.0,21.0,28.0,66.66666666666666,2
Umran Malik,8,124,207,10.016129032258064,20.666666666666668,34.5,58.87096774193549,6
Trent Boult,10,235,300,7.659574468085107,18.076923076923077,23.076923076923077,68.08510638297872,13
KM Asif,4,91,129,8.505494505494505,30.333333333333332,43.0,64.83516483516483,3
Jason Holder,8,176,279,9.511363636363637,44.0,69.75,60.79545454545454,4
Ravichandran Ashwin,13,309,352,6.83495145631068,22.071428571428573,25.142857142857142,71.52103559870551,14
Yuzvendra Chahal,14,326,423,7.785276073619633,14.818181818181818,19.227272727272727,67.79141104294479,22
Navdeep Saini,2,40,62,9.3,13.333333333333334,20.666666666666668,62.5,3
Mohammed Siraj,14,329,335,6.109422492401216,16.45,16.75,74.77203647416414,20
